state,x,y
Andhra Pradesh,-35.0,-65.0
Assam,108.0,66.0
Bihar,36.0,41.0
Chhattisgarh,-4.0,-4.0
Goa,-96.0,-76.0
Gujarat,-124.0,15.0
Haryana,-61.0,90.0
Himachal Pradesh,-59.0,127.0
Karnataka,-74.0,-88.0
Kerala,-72.0,-136.0
Madhya Pradesh,-41.0,11.0
Maharashtra,-84.0,-29.0
Manipur,121.0,33.0
Nagaland,127.0,51.0
Odisha,22.0,-19.0
Punjab,-71.0,103.0
Rajasthan,-97.0,58.0
Sikkim,63.0,58.0
Tamil Nadu,-49.0,-130.0
Uttar Pradesh,-19.0,60.0
Uttarakhand,-45.0,110.0
West Bengal,60.0,13.0
Andaman and Nicobar Islands,116.0,-133.0
Lakshadweep,-118.0,-126.0
Delhi,-59.0,127.0
Puducherry,-32.0,-119.0
