Tamil,English
என்,my
நான்,I
உன்,your
அவர்,he/she/they
இருக்கின்றன,is/are
இருக்கிறேன்,am
இருக்கிறது,is
செய்கின்றன,doing
போன்ற,like
போன்று,similar
என்ன,what
என்னால்,because
என்னை,me
நானே,myself
நாம்,we
நாங்கள்,us
என்னைப்,by
அது,it
அந்த,that
அதில்,in
அதில்,that
இந்த,this
இருந்தது,was
இருந்து,from
இருந்தால்,if
என்னால்,because
எனக்காக,for
என்று,said
என்றும்,also
என்னை,me
என்னும்,also
உன்னை,you
உன்னுடைய,your
என்னால்,because
உன்னைப்,your
உன்னுடைய,your
இருந்தது,was
இருந்தால்,if
அந்தத்,that
அதன்,its
இருந்தால்,if
அதன்,its
என்னுடைய,my
என்ற,say
என்ற,said
இருந்து,from
